Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Escherichia coli

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Escherichia coli","Ampicillin",58.680174132,61.32728953,63.974404928,66.621520326,69.268635724,2,27423
"Bloodstream","Escherichia coli","Cefepime",2.487046632,12.792466307,32.764505119,57.852034131,84.210526316,67,205243
"Bloodstream","Escherichia coli","Cefotaxime",5.681818182,22.052495697,43.147991681,70.594396439,93.548387097,72,174845
"Bloodstream","Escherichia coli","Ceftazidime",5.597014925,12.20163876,33.823529412,56.108597285,86.363636364,81,274367
"Bloodstream","Escherichia coli","Ceftriaxone",5.263157895,24.239729682,50.947867299,72.222222222,89.743589744,77,159955
"Bloodstream","Escherichia coli","Ciprofloxacin",10.154469486,29.017857143,43.193777584,64.212007505,91.666666667,92,296705
"Bloodstream","Escherichia coli","Co-trimoxazole",23.384702389,47.058823529,58.766458766,74.76635514,100,61,72743
"Bloodstream","Escherichia coli","Colistin",0,0,0.724637681,2.547770701,100,45,24955
"Bloodstream","Escherichia coli","Doripenem",1.162790698,1.64692545,2.131060202,4.438545974,6.746031746,3,2215
"Bloodstream","Escherichia coli","Ertapenem",0,0.521066805,2.330508475,7.959770115,36.363636364,67,142939
"Bloodstream","Escherichia coli","Imipenem",0,0.158478605,2.521008403,8.641975309,30.718589601,81,210219
"Bloodstream","Escherichia coli","Levofloxacin",4.545454545,30,41.996233522,55.555555556,92.775665399,53,136757
"Bloodstream","Escherichia coli","Meropenem",0,0.042485719,1.958884444,8.412447257,44.444444444,86,294507
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance",5.681818182,22.09776227,45.080285459,71.290584685,93.548387097,92,188731


Summary values that consider CTAs with testing coverage above the 75th percentile
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Escherichia coli","Ampicillin",58.680174132,58.680174132,58.680174132,58.680174132,58.680174132,1,24579
"Bloodstream","Escherichia coli","Cefepime",2.487046632,6.948559117,11.53537515,17.151702786,42.352941176,17,167154
"Bloodstream","Escherichia coli","Cefotaxime",5.681818182,10.476750912,13.810767104,23.321257855,58.564814815,18,141968
"Bloodstream","Escherichia coli","Ceftazidime",5.597014925,7.947760179,10.37864548,16.679534366,53.364269142,20,195914
"Bloodstream","Escherichia coli","Ceftriaxone",6.271777003,11.677090237,20.263757509,27.383022736,58.837209302,19,116501
"Bloodstream","Escherichia coli","Ciprofloxacin",10.154469486,14.014422248,16.754309086,29.460856045,60.648148148,23,220633
"Bloodstream","Escherichia coli","Co-trimoxazole",23.384702389,30.219185889,39.481785531,47.867202729,51.533477322,15,42814
"Bloodstream","Escherichia coli","Colistin",0,0.227963801,0.49382716,1.143871559,3.170028818,11,13609
"Bloodstream","Escherichia coli","Doripenem",2.131060202,2.131060202,2.131060202,2.131060202,2.131060202,1,1877
"Bloodstream","Escherichia coli","Ertapenem",0,0.165234633,0.480769231,0.862068966,3.356890459,17,96178
"Bloodstream","Escherichia coli","Imipenem",0,0.027245205,0.178774804,1.002197402,5.348837209,20,159744
"Bloodstream","Escherichia coli","Levofloxacin",10.544611819,16.231086657,28.17925586,35.240963855,92.775665399,13,122524
"Bloodstream","Escherichia coli","Meropenem",0,0.006016847,0.044246534,0.099754368,5.361305361,22,225275
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance",5.681818182,11.332516323,13.228903487,23.349078027,58.837209302,23,131069


Data for boxplots
"Specimen","PathogenName","AntibioticName","Iso3","CountryTerritoryArea","WHORegionName","InterpretableAST","Resistant","ResistancePercentage"
"Bloodstream","Escherichia coli","Ceftazidime","AUT","Austria","European Region",1977,204,10.318664643
"Bloodstream","Escherichia coli","Ceftriaxone","AUT","Austria","European Region",440,71,16.136363636
"Bloodstream","Escherichia coli","Ciprofloxacin","AUT","Austria","European Region",4639,689,14.852338866
"Bloodstream","Escherichia coli","Colistin","AUT","Austria","European Region",155,24,15.483870968
"Bloodstream","Escherichia coli","Ertapenem","AUT","Austria","European Region",1159,6,0.517687662
"Bloodstream","Escherichia coli","Imipenem","AUT","Austria","European Region",1507,3,0.199071002
"Bloodstream","Escherichia coli","Levofloxacin","AUT","Austria","European Region",766,122,15.92689295
"Bloodstream","Escherichia coli","Meropenem","AUT","Austria","European Region",3841,4,0.104139547
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","AUT","Austria","European Region",440,71,16.136363636
"Bloodstream","Escherichia coli","Cefepime","BEL","Belgium","European Region",3437,237,6.895548443
"Bloodstream","Escherichia coli","Cefotaxime","BEL","Belgium","European Region",1352,132,9.763313609
"Bloodstream","Escherichia coli","Ceftazidime","BEL","Belgium","European Region",2941,307,10.438626318
"Bloodstream","Escherichia coli","Ceftriaxone","BEL","Belgium","European Region",653,61,9.341500766
"Bloodstream","Escherichia coli","Ciprofloxacin","BEL","Belgium","European Region",4178,750,17.95117281
"Bloodstream","Escherichia coli","Colistin","BEL","Belgium","European Region",778,3,0.385604113
"Bloodstream","Escherichia coli","Ertapenem","BEL","Belgium","European Region",630,6,0.952380952
"Bloodstream","Escherichia coli","Imipenem","BEL","Belgium","European Region",329,0,0
"Bloodstream","Escherichia coli","Levofloxacin","BEL","Belgium","European Region",769,153,19.895968791
"Bloodstream","Escherichia coli","Meropenem","BEL","Belgium","European Region",4619,4,0.086598831
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","BEL","Belgium","European Region",2941,307,10.438626318
"Bloodstream","Escherichia coli","Cefepime","BEN","Benin","African Region",104,79,75.961538462
"Bloodstream","Escherichia coli","Cefotaxime","BEN","Benin","African Region",173,133,76.878612717
"Bloodstream","Escherichia coli","Ceftazidime","BEN","Benin","African Region",175,134,76.571428571
"Bloodstream","Escherichia coli","Ceftriaxone","BEN","Benin","African Region",176,135,76.704545455
"Bloodstream","Escherichia coli","Ciprofloxacin","BEN","Benin","African Region",166,134,80.722891566
"Bloodstream","Escherichia coli","Co-trimoxazole","BEN","Benin","African Region",58,49,84.482758621
"Bloodstream","Escherichia coli","Ertapenem","BEN","Benin","African Region",139,7,5.035971223
"Bloodstream","Escherichia coli","Imipenem","BEN","Benin","African Region",139,5,3.597122302
"Bloodstream","Escherichia coli","Levofloxacin","BEN","Benin","African Region",123,111,90.243902439
"Bloodstream","Escherichia coli","Meropenem","BEN","Benin","African Region",130,5,3.846153846
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","BEN","Benin","African Region",173,133,76.878612717
"Bloodstream","Escherichia coli","Cefepime","BFA","Burkina Faso","African Region",19,16,84.210526316
"Bloodstream","Escherichia coli","Ceftazidime","BFA","Burkina Faso","African Region",14,10,71.428571429
"Bloodstream","Escherichia coli","Ceftriaxone","BFA","Burkina Faso","African Region",26,23,88.461538462
"Bloodstream","Escherichia coli","Ciprofloxacin","BFA","Burkina Faso","African Region",20,16,80
"Bloodstream","Escherichia coli","Co-trimoxazole","BFA","Burkina Faso","African Region",19,17,89.473684211
"Bloodstream","Escherichia coli","Imipenem","BFA","Burkina Faso","African Region",20,4,20
"Bloodstream","Escherichia coli","Levofloxacin","BFA","Burkina Faso","African Region",10,7,70
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","BFA","Burkina Faso","African Region",26,23,88.461538462
"Bloodstream","Escherichia coli","Cefepime","BGD","Bangladesh","South-East Asia Region",45,33,73.333333333
"Bloodstream","Escherichia coli","Cefotaxime","BGD","Bangladesh","South-East Asia Region",18,13,72.222222222
"Bloodstream","Escherichia coli","Ceftazidime","BGD","Bangladesh","South-East Asia Region",48,38,79.166666667
"Bloodstream","Escherichia coli","Ceftriaxone","BGD","Bangladesh","South-East Asia Region",48,38,79.166666667
"Bloodstream","Escherichia coli","Ciprofloxacin","BGD","Bangladesh","South-East Asia Region",45,32,71.111111111
"Bloodstream","Escherichia coli","Co-trimoxazole","BGD","Bangladesh","South-East Asia Region",41,22,53.658536585
"Bloodstream","Escherichia coli","Imipenem","BGD","Bangladesh","South-East Asia Region",15,4,26.666666667
"Bloodstream","Escherichia coli","Meropenem","BGD","Bangladesh","South-East Asia Region",45,20,44.444444444
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","BGD","Bangladesh","South-East Asia Region",48,38,79.166666667
"Bloodstream","Escherichia coli","Cefepime","BHR","Bahrain","Eastern Mediterranean Region",206,108,52.427184466
"Bloodstream","Escherichia coli","Cefotaxime","BHR","Bahrain","Eastern Mediterranean Region",14,8,57.142857143
"Bloodstream","Escherichia coli","Ceftazidime","BHR","Bahrain","Eastern Mediterranean Region",130,62,47.692307692
"Bloodstream","Escherichia coli","Ceftriaxone","BHR","Bahrain","Eastern Mediterranean Region",266,140,52.631578947
"Bloodstream","Escherichia coli","Ciprofloxacin","BHR","Bahrain","Eastern Mediterranean Region",259,127,49.034749035
"Bloodstream","Escherichia coli","Co-trimoxazole","BHR","Bahrain","Eastern Mediterranean Region",143,71,49.65034965
"Bloodstream","Escherichia coli","Colistin","BHR","Bahrain","Eastern Mediterranean Region",44,0,0
"Bloodstream","Escherichia coli","Ertapenem","BHR","Bahrain","Eastern Mediterranean Region",128,28,21.875
"Bloodstream","Escherichia coli","Imipenem","BHR","Bahrain","Eastern Mediterranean Region",132,26,19.696969697
"Bloodstream","Escherichia coli","Levofloxacin","BHR","Bahrain","Eastern Mediterranean Region",131,65,49.618320611
"Bloodstream","Escherichia coli","Meropenem","BHR","Bahrain","Eastern Mediterranean Region",240,24,10
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","BHR","Bahrain","Eastern Mediterranean Region",14,8,57.142857143
"Bloodstream","Escherichia coli","Cefotaxime","BIH","Bosnia and Herzegovina","European Region",332,74,22.289156627
"Bloodstream","Escherichia coli","Ceftazidime","BIH","Bosnia and Herzegovina","European Region",338,73,21.597633136
"Bloodstream","Escherichia coli","Ceftriaxone","BIH","Bosnia and Herzegovina","European Region",339,75,22.123893805
"Bloodstream","Escherichia coli","Ciprofloxacin","BIH","Bosnia and Herzegovina","European Region",338,119,35.207100592
"Bloodstream","Escherichia coli","Colistin","BIH","Bosnia and Herzegovina","European Region",11,0,0
"Bloodstream","Escherichia coli","Ertapenem","BIH","Bosnia and Herzegovina","European Region",307,3,0.977198697
"Bloodstream","Escherichia coli","Imipenem","BIH","Bosnia and Herzegovina","European Region",338,1,0.295857988
"Bloodstream","Escherichia coli","Levofloxacin","BIH","Bosnia and Herzegovina","European Region",332,117,35.240963855
"Bloodstream","Escherichia coli","Meropenem","BIH","Bosnia and Herzegovina","European Region",339,2,0.589970501
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","BIH","Bosnia and Herzegovina","European Region",332,74,22.289156627
"Bloodstream","Escherichia coli","Cefepime","BRA","Brazil","Region of the Americas",762,225,29.527559055
"Bloodstream","Escherichia coli","Ceftazidime","BRA","Brazil","Region of the Americas",443,128,28.893905192
"Bloodstream","Escherichia coli","Ceftriaxone","BRA","Brazil","Region of the Americas",765,263,34.379084967
"Bloodstream","Escherichia coli","Ciprofloxacin","BRA","Brazil","Region of the Americas",748,313,41.844919786
"Bloodstream","Escherichia coli","Co-trimoxazole","BRA","Brazil","Region of the Americas",415,234,56.385542169
"Bloodstream","Escherichia coli","Ertapenem","BRA","Brazil","Region of the Americas",472,11,2.330508475
"Bloodstream","Escherichia coli","Imipenem","BRA","Brazil","Region of the Americas",49,3,6.12244898
"Bloodstream","Escherichia coli","Levofloxacin","BRA","Brazil","Region of the Americas",21,7,33.333333333
"Bloodstream","Escherichia coli","Meropenem","BRA","Brazil","Region of the Americas",764,4,0.523560209
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","BRA","Brazil","Region of the Americas",765,263,34.379084967
"Bloodstream","Escherichia coli","Cefepime","BRN","Brunei Darussalam","Western Pacific Region",208,36,17.307692308
"Bloodstream","Escherichia coli","Ceftazidime","BRN","Brunei Darussalam","Western Pacific Region",263,62,23.574144487
"Bloodstream","Escherichia coli","Ceftriaxone","BRN","Brunei Darussalam","Western Pacific Region",263,63,23.954372624
"Bloodstream","Escherichia coli","Ciprofloxacin","BRN","Brunei Darussalam","Western Pacific Region",264,78,29.545454545
"Bloodstream","Escherichia coli","Co-trimoxazole","BRN","Brunei Darussalam","Western Pacific Region",264,88,33.333333333
"Bloodstream","Escherichia coli","Ertapenem","BRN","Brunei Darussalam","Western Pacific Region",232,2,0.862068966
"Bloodstream","Escherichia coli","Imipenem","BRN","Brunei Darussalam","Western Pacific Region",263,0,0
"Bloodstream","Escherichia coli","Levofloxacin","BRN","Brunei Darussalam","Western Pacific Region",99,35,35.353535354
"Bloodstream","Escherichia coli","Meropenem","BRN","Brunei Darussalam","Western Pacific Region",264,0,0
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","BRN","Brunei Darussalam","Western Pacific Region",263,63,23.954372624
"Bloodstream","Escherichia coli","Ceftriaxone","BTN","Bhutan","South-East Asia Region",36,29,80.555555556
"Bloodstream","Escherichia coli","Ciprofloxacin","BTN","Bhutan","South-East Asia Region",34,25,73.529411765
"Bloodstream","Escherichia coli","Co-trimoxazole","BTN","Bhutan","South-East Asia Region",37,24,64.864864865
"Bloodstream","Escherichia coli","Meropenem","BTN","Bhutan","South-East Asia Region",20,3,15
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","BTN","Bhutan","South-East Asia Region",36,29,80.555555556
"Bloodstream","Escherichia coli","Cefepime","CAN","Canada","Region of the Americas",829,34,4.1013269
"Bloodstream","Escherichia coli","Ceftazidime","CAN","Canada","Region of the Americas",2604,288,11.059907834
"Bloodstream","Escherichia coli","Ceftriaxone","CAN","Canada","Region of the Americas",2917,509,17.44943435
"Bloodstream","Escherichia coli","Ciprofloxacin","CAN","Canada","Region of the Americas",7493,1819,24.275990925
"Bloodstream","Escherichia coli","Co-trimoxazole","CAN","Canada","Region of the Americas",7073,1654,23.384702389
"Bloodstream","Escherichia coli","Ertapenem","CAN","Canada","Region of the Americas",2516,7,0.278219396
"Bloodstream","Escherichia coli","Levofloxacin","CAN","Canada","Region of the Americas",827,141,17.049576784
"Bloodstream","Escherichia coli","Meropenem","CAN","Canada","Region of the Americas",2776,4,0.144092219
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","CAN","Canada","Region of the Americas",2917,509,17.44943435
"Bloodstream","Escherichia coli","Cefepime","CHE","Switzerland","European Region",6737,512,7.599821879
"Bloodstream","Escherichia coli","Cefotaxime","CHE","Switzerland","European Region",659,59,8.952959029
"Bloodstream","Escherichia coli","Ceftazidime","CHE","Switzerland","European Region",6802,595,8.747427227
"Bloodstream","Escherichia coli","Ceftriaxone","CHE","Switzerland","European Region",5634,617,10.951366702
"Bloodstream","Escherichia coli","Ciprofloxacin","CHE","Switzerland","European Region",6846,1147,16.754309086
"Bloodstream","Escherichia coli","Co-trimoxazole","CHE","Switzerland","European Region",6483,1749,26.97825081
"Bloodstream","Escherichia coli","Colistin","CHE","Switzerland","European Region",215,2,0.930232558
"Bloodstream","Escherichia coli","Ertapenem","CHE","Switzerland","European Region",5564,17,0.305535586
"Bloodstream","Escherichia coli","Imipenem","CHE","Switzerland","European Region",6139,4,0.065157192
"Bloodstream","Escherichia coli","Levofloxacin","CHE","Switzerland","European Region",2498,384,15.372297838
"Bloodstream","Escherichia coli","Meropenem","CHE","Switzerland","European Region",4911,2,0.040724903
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","CHE","Switzerland","European Region",5634,617,10.951366702
"Bloodstream","Escherichia coli","Cefepime","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",12,9,75
"Bloodstream","Escherichia coli","Cefotaxime","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",12,9,75
"Bloodstream","Escherichia coli","Ceftazidime","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",12,9,75
"Bloodstream","Escherichia coli","Ceftriaxone","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",12,9,75
"Bloodstream","Escherichia coli","Ciprofloxacin","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",12,8,66.666666667
"Bloodstream","Escherichia coli","Co-trimoxazole","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",12,9,75
"Bloodstream","Escherichia coli","Colistin","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",12,12,100
"Bloodstream","Escherichia coli","Ertapenem","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",13,0,0
"Bloodstream","Escherichia coli","Imipenem","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",12,0,0
"Bloodstream","Escherichia coli","Levofloxacin","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",12,8,66.666666667
"Bloodstream","Escherichia coli","Meropenem","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",12,0,0
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",12,9,75
"Bloodstream","Escherichia coli","Cefepime","CMR","Cameroon","African Region",42,31,73.80952381
"Bloodstream","Escherichia coli","Cefotaxime","CMR","Cameroon","African Region",46,34,73.913043478
"Bloodstream","Escherichia coli","Ceftazidime","CMR","Cameroon","African Region",52,34,65.384615385
"Bloodstream","Escherichia coli","Ceftriaxone","CMR","Cameroon","African Region",18,13,72.222222222
"Bloodstream","Escherichia coli","Ciprofloxacin","CMR","Cameroon","African Region",61,38,62.295081967
"Bloodstream","Escherichia coli","Co-trimoxazole","CMR","Cameroon","African Region",55,51,92.727272727
"Bloodstream","Escherichia coli","Ertapenem","CMR","Cameroon","African Region",27,5,18.518518519
"Bloodstream","Escherichia coli","Imipenem","CMR","Cameroon","African Region",65,5,7.692307692
"Bloodstream","Escherichia coli","Levofloxacin","CMR","Cameroon","African Region",25,9,36
"Bloodstream","Escherichia coli","Meropenem","CMR","Cameroon","African Region",15,3,20
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","CMR","Cameroon","African Region",46,34,73.913043478
"Bloodstream","Escherichia coli","Cefotaxime","COD","Democratic Republic of the Congo","African Region",156,114,73.076923077
"Bloodstream","Escherichia coli","Ceftriaxone","COD","Democratic Republic of the Congo","African Region",156,114,73.076923077
"Bloodstream","Escherichia coli","Ciprofloxacin","COD","Democratic Republic of the Congo","African Region",144,105,72.916666667
"Bloodstream","Escherichia coli","Co-trimoxazole","COD","Democratic Republic of the Congo","African Region",152,145,95.394736842
"Bloodstream","Escherichia coli","Imipenem","COD","Democratic Republic of the Congo","African Region",77,14,18.181818182
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","COD","Democratic Republic of the Congo","African Region",156,114,73.076923077
"Bloodstream","Escherichia coli","Cefepime","COL","Colombia","Region of the Americas",14954,1725,11.53537515
"Bloodstream","Escherichia coli","Cefotaxime","COL","Colombia","Region of the Americas",1269,363,28.605200946
"Bloodstream","Escherichia coli","Ceftazidime","COL","Colombia","Region of the Americas",14700,1501,10.210884354
"Bloodstream","Escherichia coli","Ceftriaxone","COL","Colombia","Region of the Americas",11246,2726,24.239729682
"Bloodstream","Escherichia coli","Ciprofloxacin","COL","Colombia","Region of the Americas",14963,5399,36.08233643
"Bloodstream","Escherichia coli","Co-trimoxazole","COL","Colombia","Region of the Americas",6945,3579,51.533477322
"Bloodstream","Escherichia coli","Colistin","COL","Colombia","Region of the Americas",2374,34,1.432181971
"Bloodstream","Escherichia coli","Doripenem","COL","Colombia","Region of the Americas",86,1,1.162790698
"Bloodstream","Escherichia coli","Ertapenem","COL","Colombia","Region of the Americas",14547,237,1.629201897
"Bloodstream","Escherichia coli","Imipenem","COL","Colombia","Region of the Americas",12560,192,1.52866242
"Bloodstream","Escherichia coli","Levofloxacin","COL","Colombia","Region of the Americas",3834,1278,33.333333333
"Bloodstream","Escherichia coli","Meropenem","COL","Colombia","Region of the Americas",14953,209,1.397712834
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","COL","Colombia","Region of the Americas",1269,363,28.605200946
"Bloodstream","Escherichia coli","Cefepime","CYP","Cyprus","European Region",113,25,22.123893805
"Bloodstream","Escherichia coli","Cefotaxime","CYP","Cyprus","European Region",138,45,32.608695652
"Bloodstream","Escherichia coli","Ceftazidime","CYP","Cyprus","European Region",84,25,29.761904762
